timestamp,sentence,sat_id,elevation,snr_db
2026-07-18T15:11:59.305237,$GPGSV,10,,38
2026-07-18T15:11:59.305237,$GPGSV,12,,39
2026-07-18T15:11:59.305237,$GPGSV,13,,42
2026-07-18T15:11:59.305237,$GPGSV,18,,43
2026-07-18T15:11:59.306212,$GPGSV,23,,38
2026-07-18T15:11:59.306212,$GPGSV,24,,28
2026-07-18T15:11:59.306212,$GPGSV,25,,28
2026-07-18T15:11:59.306212,$GPGSV,28,,44
2026-07-18T15:11:59.307123,$GPGSV,31,,29
2026-07-18T15:11:59.307123,$GPGSV,32,,46
2026-07-18T15:11:59.307123,$GPGSV,40,,40
2026-07-18T15:11:59.307123,$GPGSV,41,,45
2026-07-18T15:11:59.307683,$GPGSV,42,,45
2026-07-18T15:11:59.308584,$GPGSV,10,,36
2026-07-18T15:11:59.308584,$GPGSV,12,,36
2026-07-18T15:11:59.308584,$GPGSV,13,,40
2026-07-18T15:11:59.308584,$GPGSV,18,,44
2026-07-18T15:11:59.309489,$GPGSV,23,,40
2026-07-18T15:11:59.309489,$GPGSV,24,,30
2026-07-18T15:11:59.309489,$GPGSV,25,,32
2026-07-18T15:11:59.309489,$GPGSV,28,,41
2026-07-18T15:11:59.310024,$GPGSV,32,,40
2026-07-18T15:11:59.311774,$GLGSV,71,,37
2026-07-18T15:11:59.311774,$GLGSV,72,,24
2026-07-18T15:11:59.311774,$GLGSV,73,,32
2026-07-18T15:11:59.311774,$GLGSV,74,,34
2026-07-18T15:11:59.312650,$GLGSV,75,,24
2026-07-18T15:11:59.312650,$GLGSV,86,,46
2026-07-18T15:11:59.312650,$GLGSV,87,,45
2026-07-18T15:11:59.313562,$GLGSV,71,,38
2026-07-18T15:11:59.313562,$GLGSV,72,,31
2026-07-18T15:11:59.313562,$GLGSV,73,,38
2026-07-18T15:11:59.313562,$GLGSV,75,,27
2026-07-18T15:11:59.314161,$GLGSV,86,,42
2026-07-18T15:11:59.315647,$GAGSV,03,,46
2026-07-18T15:11:59.315647,$GAGSV,05,,46
2026-07-18T15:11:59.315647,$GAGSV,15,,38
2026-07-18T15:11:59.315647,$GAGSV,16,,41
2026-07-18T15:11:59.316561,$GAGSV,25,,37
2026-07-18T15:11:59.316561,$GAGSV,32,,41
2026-07-18T15:11:59.316561,$GAGSV,34,,49
2026-07-18T15:11:59.316561,$GAGSV,36,,40
2026-07-18T15:11:59.317450,$GAGSV,03,,38
2026-07-18T15:11:59.317450,$GAGSV,05,,43
2026-07-18T15:11:59.317450,$GAGSV,15,,34
2026-07-18T15:11:59.317450,$GAGSV,16,,37
2026-07-18T15:11:59.318331,$GAGSV,25,,34
2026-07-18T15:11:59.318331,$GAGSV,32,,39
2026-07-18T15:11:59.318331,$GAGSV,34,,45
2026-07-18T15:11:59.318331,$GAGSV,36,,39
2026-07-18T15:11:59.319810,$GBGSV,06,,41
2026-07-18T15:11:59.319810,$GBGSV,07,,48
2026-07-18T15:11:59.319810,$GBGSV,09,,44
2026-07-18T15:11:59.319810,$GBGSV,10,,47
