timestamp,sentence,sat_id,elevation,snr_db
2026-06-02T17:33:56.316806,$GPGSV,10,,34
2026-06-02T17:33:56.316806,$GPGSV,12,,25
2026-06-02T17:33:56.316806,$GPGSV,18,,45
2026-06-02T17:33:56.316806,$GPGSV,23,,44
2026-06-02T17:33:56.319423,$GPGSV,24,,30
2026-06-02T17:33:56.319423,$GPGSV,32,,26
2026-06-02T17:33:56.319423,$GPGSV,40,,39
2026-06-02T17:33:56.319423,$GPGSV,41,,47
2026-06-02T17:33:56.320738,$GPGSV,42,,45
2026-06-02T17:33:56.322936,$GPGSV,10,,23
2026-06-02T17:33:56.322936,$GPGSV,12,,17
2026-06-02T17:33:56.322936,$GPGSV,18,,48
2026-06-02T17:33:56.322936,$GPGSV,23,,43
2026-06-02T17:33:56.324494,$GPGSV,24,,27
2026-06-02T17:33:56.324494,$GPGSV,32,,27
2026-06-02T17:33:56.331170,$GLGSV,65,,31
2026-06-02T17:33:56.331170,$GLGSV,66,,35
2026-06-02T17:33:56.331170,$GLGSV,75,,19
2026-06-02T17:33:56.331170,$GLGSV,76,,31
2026-06-02T17:33:56.332737,$GLGSV,81,,43
2026-06-02T17:33:56.332737,$GLGSV,88,,48
2026-06-02T17:33:56.335099,$GLGSV,66,,35
2026-06-02T17:33:56.335099,$GLGSV,75,,29
2026-06-02T17:33:56.335099,$GLGSV,76,,29
2026-06-02T17:33:56.335099,$GLGSV,81,,38
2026-06-02T17:33:56.336472,$GLGSV,88,,46
2026-06-02T17:33:56.339161,$GAGSV,04,,43
2026-06-02T17:33:56.339161,$GAGSV,05,,40
2026-06-02T17:33:56.339161,$GAGSV,06,,45
2026-06-02T17:33:56.339161,$GAGSV,09,,29
2026-06-02T17:33:56.340617,$GAGSV,10,,48
2026-06-02T17:33:56.340617,$GAGSV,11,,43
2026-06-02T17:33:56.340617,$GAGSV,12,,21
2026-06-02T17:33:56.340617,$GAGSV,36,,28
2026-06-02T17:33:56.342182,$GAGSV,04,,41
2026-06-02T17:33:56.342182,$GAGSV,05,,40
2026-06-02T17:33:56.342182,$GAGSV,06,,44
2026-06-02T17:33:56.342182,$GAGSV,09,,26
2026-06-02T17:33:56.343302,$GAGSV,10,,45
2026-06-02T17:33:56.343302,$GAGSV,11,,40
2026-06-02T17:33:56.343302,$GAGSV,36,,40
2026-06-02T17:33:56.345326,$GBGSV,06,,44
2026-06-02T17:33:56.345326,$GBGSV,07,,47
2026-06-02T17:33:56.345326,$GBGSV,09,,44
2026-06-02T17:33:56.345326,$GBGSV,10,,46
2026-06-02T17:33:56.346417,$GBGSV,13,,32
