timestamp,sentence,sat_id,elevation,snr_db
2026-05-28T16:32:47.308082,$GPGSV,10,,39
2026-05-28T16:32:47.308082,$GPGSV,15,,42
2026-05-28T16:32:47.308082,$GPGSV,18,,44
2026-05-28T16:32:47.308082,$GPGSV,23,,35
2026-05-28T16:32:47.310388,$GPGSV,24,,45
2026-05-28T16:32:47.310388,$GPGSV,29,,36
2026-05-28T16:32:47.310388,$GPGSV,32,,33
2026-05-28T16:32:47.310388,$GPGSV,41,,46
2026-05-28T16:32:47.311957,$GPGSV,42,,46
2026-05-28T16:32:47.311957,$GPGSV,50,,43
2026-05-28T16:32:47.314196,$GPGSV,05,,20
2026-05-28T16:32:47.314196,$GPGSV,10,,24
2026-05-28T16:32:47.314196,$GPGSV,15,,38
2026-05-28T16:32:47.314196,$GPGSV,18,,49
2026-05-28T16:32:47.315413,$GPGSV,20,,11
2026-05-28T16:32:47.315413,$GPGSV,23,,36
2026-05-28T16:32:47.315413,$GPGSV,24,,43
2026-05-28T16:32:47.315413,$GPGSV,29,,38
2026-05-28T16:32:47.315812,$GPGSV,32,,35
2026-05-28T16:32:47.317153,$GLGSV,67,,23
2026-05-28T16:32:47.317153,$GLGSV,68,,42
2026-05-28T16:32:47.317153,$GLGSV,69,,44
2026-05-28T16:32:47.317153,$GLGSV,78,,35
2026-05-28T16:32:47.317729,$GLGSV,81,,41
2026-05-28T16:32:47.317729,$GLGSV,82,,46
2026-05-28T16:32:47.317729,$GLGSV,83,,48
2026-05-28T16:32:47.318395,$GLGSV,67,,19
2026-05-28T16:32:47.318395,$GLGSV,68,,37
2026-05-28T16:32:47.318395,$GLGSV,69,,44
2026-05-28T16:32:47.318395,$GLGSV,78,,29
2026-05-28T16:32:47.318965,$GLGSV,81,,31
2026-05-28T16:32:47.318965,$GLGSV,82,,47
2026-05-28T16:32:47.318965,$GLGSV,83,,46
2026-05-28T16:32:47.320192,$GAGSV,07,,50
2026-05-28T16:32:47.320192,$GAGSV,08,,50
2026-05-28T16:32:47.320192,$GAGSV,13,,48
2026-05-28T16:32:47.320192,$GAGSV,15,,52
2026-05-28T16:32:47.320679,$GAGSV,26,,13
2026-05-28T16:32:47.320679,$GAGSV,32,,48
2026-05-28T16:32:47.321327,$GAGSV,07,,44
2026-05-28T16:32:47.321327,$GAGSV,08,,46
2026-05-28T16:32:47.321327,$GAGSV,13,,44
2026-05-28T16:32:47.321327,$GAGSV,15,,42
2026-05-28T16:32:47.321702,$GAGSV,32,,43
2026-05-28T16:32:47.323257,$GBGSV,06,,42
2026-05-28T16:32:47.323257,$GBGSV,07,,44
2026-05-28T16:32:47.323257,$GBGSV,08,,42
